DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
15-Mar-18,Afganisthan,West Indies,Afganisthan,3 wickets,Harare,Yes
15-Mar-18,Scotland,UAE,Scotland,73 runs,Queen's Park Oval,Yes
16-Mar-18,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,Yes
17-Mar-18,Hong Kong,PNG,PNG,58 runs,Old Hararians Sports Club,Yes
18-Mar-18,Ireland,Scotland,Ireland,25 runs,Harare,Yes
19-Mar-18,Zimbabwe,West Indies,West Indies,4 wickets,Harare,Yes
20-Mar-18,Afganisthan,UAE,Afganisthan,5 wickets,Old Hararians Sports Club,Yes
21-Mar-18,Scotland,West Indies,West Indies,5 runs ,Harare,Yes
22-Mar-18,Zimbabwe,UAE,UAE,3 runs,Harare,Yes
23-Mar-18,Afganisthan,Ireland,Afganisthan,5 wickets,Harare,Yes
25-Mar-18,Afganisthan,West Indies,Afganisthan,7 wickets,Harare,Yes
10-Jun-18,Scotland,England,Scotland,6 runs,Grange Cricket Club,Yes
13-Jun-18,England,Australia,England,3 wickets,Kensington Oval,Yes
16-Jun-18,England,Australia,England,38 runs,Sophia Garden,Yes
19-Jun-18,England,Australia,England,242 runs,Trent Bridge,Yes
21-Jun-18,England,Australia,England,6 wickets,Riverside Ground,Yes
24-Jun-18,England,Australia,England,1 wicket,Old Trafford,Yes
12-Jul-18,England,India,India,8 wickets,Trent Bridge,Yes
13-Jul-18,Zimbabwe,Pakistan,Pakistan,201 runs,Queen's Park Oval,Yes
14-Jul-18,England,India,England,86 runs,Lords,Yes
16-Jul-18,Zimbabwe,Pakistan,Pakistan,9 wickets,Queen's Park Oval,Yes
17-Jul-18,England,India,England,8 wickets,Headingly,Yes
18-Jul-18,Zimbabwe,Pakistan,Pakistan,9 wickets,Queen's Park Oval,Yes
20-Jul-18,Zimbabwe,Pakistan,Pakistan,244 runs,Queen's Park Oval,Yes
22-Jul-18,West Indies,Bangladesh,Bangladesh,48 runs,Providence stadium,Yes
22-Jul-18,Zimbabwe,Pakistan,Pakistan,131 runs,Queen's Park Oval,Yes
25-Jul-18,West Indies,Bangladesh,West Indies,3 runs,Providence stadium,Yes
28-Jul-18,West Indies,Bangladesh,Bangladesh,18 runs,Warner's Park,Yes
29-Jul-18,Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,Yes
1-Aug-18,Netherlands,Nepal,Netherlands,55 runs,VRA Ground,Yes
1-Aug-18,Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,Yes
3-Aug-18,Netherlands,Nepal,Nepal,1 run,VRA Ground,Yes
5-Aug-18,Sri Lanka,South Africa,South Africa,78 runs,Pallekele,Yes
8-Aug-18,Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,Yes
12-Aug-18,Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo,Yes
27-Aug-18,Ireland,Afganisthan,Afganisthan,29 runs,Civil Service Cricket Club,Yes
29-Aug-18,Ireland,Afganisthan,Ireland,3 wickets,Civil Service Cricket Club,Yes
30-Aug-18,Nepal,UAE,UAE,78 runs,Kinrara Academy Oval,Yes
31-Aug-18,Ireland,Afganisthan,Afganisthan,8 wickets,Civil Service Cricket Club,Yes
15-Sep-18,Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai,Yes
16-Sep-18,Hong Kong,Pakistan,Pakistan,8 wickets,Dubai,Yes
17-Sep-18,Afganisthan,Sri Lanka,Afganisthan,91 runs,Abu Dhabi,Yes
18-Sep-18,Hong Kong,India,India,26 runs,Dubai,Yes
19-Sep-18,India,Pakistan,India,8 wickets,Dubai,Yes
20-Sep-18,Afganisthan,Bangladesh,Afganisthan,136 runs,Abu Dhabi,Yes
21-Sep-18,Bangladesh,India,India,7 wickets,Dubai,Yes
21-Sep-18,Afganisthan,Pakistan,Pakistan,3 wickets,Abu Dhabi,Yes
23-Sep-18,India,Pakistan,India,9 wickets,Dubai,Yes
23-Sep-18,Afganisthan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,Yes
25-Sep-18,Afganisthan,India,NaN,NaN,Dubai,No
26-Sep-18,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,Yes
28-Sep-18,Bangladesh,India,India,3 wickets,Dubai,Yes
30-Sep-18,South Africa,Zimbabwe,South Africa,5 wickets,Diamond Oval,Yes
3-Oct-18,South Africa,Zimbabwe,South Africa,120 runs,Mangaung Oval,Yes
